epoch,accuracy,loss,val_accuracy,val_loss
0,0.076099426,2.768404722,0.083462134,2.711410046
1,0.093307838,2.713053942,0.085007727,2.720199108
2,0.099426389,2.695709944,0.09891808,2.683958292
3,0.105927341,2.673568964,0.102009274,2.665534496
4,0.113957934,2.650933266,0.100463681,2.644652367
5,0.121988527,2.632762194,0.102009274,2.629217148
6,0.12122371,2.61352396,0.13601236,2.609262705
7,0.145315483,2.596065998,0.128284395,2.583336592
8,0.138432115,2.589109898,0.149922714,2.576356888
9,0.156787768,2.564456701,0.13601236,2.561697245
10,0.163288713,2.556030512,0.174652234,2.549601793
11,0.175525814,2.543707609,0.165378675,2.517919779
12,0.169407263,2.521184206,0.179289028,2.526493788
13,0.194646269,2.505470514,0.163833082,2.501533985
14,0.193499044,2.49129796,0.207109734,2.472947359
15,0.182409182,2.491677046,0.182380214,2.485251665
16,0.196558312,2.468818188,0.171561047,2.469899178
17,0.190057367,2.456086397,0.193199381,2.459789276
18,0.195028678,2.450672865,0.190108195,2.438858032
19,0.200382411,2.447541952,0.202472955,2.437066555
20,0.209177822,2.425307989,0.217928901,2.409526587
21,0.224091783,2.41473341,0.197836161,2.428566694
22,0.222562134,2.417202711,0.233384848,2.417785645
23,0.223709375,2.40729332,0.245749608,2.373929024
24,0.234416828,2.381397247,0.216383308,2.383529902
25,0.244359463,2.382632971,0.230293661,2.366699219
26,0.237476096,2.370921135,0.230293661,2.374641895
27,0.230210319,2.374927044,0.222565681,2.383226156
28,0.234799236,2.357386589,0.256568789,2.373072863
29,0.24015297,2.352287769,0.248840809,2.34740448
30,0.24780114,2.349796772,0.245749608,2.334902525
31,0.25162524,2.334218025,0.222565681,2.3416152
32,0.257361382,2.321773052,0.248840809,2.325106382
33,0.253919691,2.329747438,0.287480682,2.3252213
34,0.256596565,2.332397699,0.227202475,2.340749741
35,0.258891016,2.313288927,0.259659976,2.314640999
36,0.258891016,2.307039022,0.244204015,2.31226182
37,0.266156793,2.303707123,0.250386387,2.301429272
38,0.265391976,2.28309083,0.259659976,2.288252115
39,0.274952203,2.287135839,0.272024721,2.28884387
40,0.263862342,2.277338982,0.258114368,2.272574663
41,0.270363301,2.27807188,0.282843888,2.275343418
42,0.281835556,2.271198273,0.278207123,2.267936945
43,0.279923528,2.265186071,0.270479143,2.269952059
44,0.283747613,2.257618904,0.301391035,2.245177031
45,0.289101332,2.251842022,0.302936643,2.243638754
46,0.297514349,2.23845005,0.28129831,2.251553535
47,0.273040146,2.247877121,0.302936643,2.236666441
48,0.29101339,2.235739231,0.292117476,2.230920315
49,0.2921606,2.237293959,0.290571868,2.246920109
50,0.297131926,2.210617542,0.292117476,2.23252368
51,0.286806881,2.229301691,0.275115907,2.242177725
52,0.304015309,2.216730833,0.299845427,2.225536585
53,0.286424488,2.221077919,0.284389496,2.236372709
54,0.299426377,2.206124783,0.298299849,2.207092285
55,0.310133845,2.198122025,0.319938183,2.18662262
56,0.302103251,2.200400829,0.28902626,2.19169426
57,0.314340353,2.189403534,0.278207123,2.212562323
58,0.2998088,2.192251921,0.301391035,2.197934628
59,0.304397702,2.191786289,0.304482222,2.176025391
60,0.318164438,2.180075407,0.309119016,2.192658424
61,0.325047791,2.164874315,0.319938183,2.196246147
62,0.30745697,2.172323227,0.315301389,2.177950382
63,0.312428296,2.172321558,0.295208663,2.189113379
64,0.302485645,2.174644947,0.31375581,2.160260677
65,0.31510517,2.166132212,0.298299849,2.161127329
66,0.323518157,2.153714418,0.307573408,2.176755905
67,0.327724665,2.150773525,0.324574947,2.159664631
68,0.329254299,2.138275862,0.336939722,2.137013674
69,0.312428296,2.136383772,0.321483761,2.147130489
70,0.324282974,2.143483639,0.350850075,2.121960878
71,0.335372835,2.127180576,0.31375581,2.145695448
72,0.326577425,2.127086401,0.341576517,2.142138958
73,0.336137682,2.143162012,0.340030909,2.146156073
74,0.338432133,2.117298365,0.323029369,2.14070034
75,0.338814527,2.112743378,0.333848536,2.12098527
76,0.325812608,2.117118359,0.307573408,2.152331352
77,0.340726584,2.110654116,0.307573408,2.137011051
78,0.339579344,2.110990047,0.31375581,2.128103733
79,0.344550669,2.10417366,0.319938183,2.11086154
80,0.326577425,2.110686064,0.335394114,2.112951756
81,0.328489482,2.111566305,0.318392575,2.115333796
82,0.328871906,2.099647284,0.349304467,2.099632978
83,0.343021035,2.083127737,0.33848533,2.096158266
84,0.34684512,2.099364996,0.341576517,2.092429638
85,0.348757178,2.079432487,0.336939722,2.108205795
86,0.33040154,2.093657494,0.335394114,2.109220743
87,0.347609937,2.081148148,0.352395684,2.068364859
88,0.351816446,2.081056833,0.312210202,2.105497122
89,0.343403429,2.085049629,0.343122095,2.1008358
90,0.354875714,2.078445435,0.323029369,2.10072279
91,0.34684512,2.070269108,0.361669242,2.077762365
92,0.334990442,2.077136755,0.333848536,2.063853741
93,0.343785852,2.067754269,0.33075735,2.115560293
94,0.350669205,2.06010294,0.335394114,2.077867746
95,0.358699799,2.057770014,0.358578056,2.087671041
96,0.354875714,2.061730623,0.366306037,2.073330402
97,0.355640531,2.053674459,0.344667703,2.086068869
98,0.353728503,2.056733131,0.336939722,2.102581024
99,0.347609937,2.066264868,0.360123634,2.042628765
100,0.343785852,2.055692673,0.364760429,2.059212923
101,0.347992361,2.047409296,0.347758889,2.06288743
102,0.349904388,2.052598476,0.378670782,2.035897493
103,0.361376673,2.039443493,0.335394114,2.074270725
104,0.35449332,2.034533501,0.369397223,2.068562508
105,0.352963686,2.05362463,0.364760429,2.053051233
106,0.373613775,2.022970438,0.367851615,2.068520784
107,0.346462727,2.04635191,0.367851615,2.040286779
108,0.368260026,2.038553238,0.344667703,2.049121141
109,0.361376673,2.029850721,0.392581135,2.026186943
110,0.377055436,2.013314247,0.397217929,2.022407532
111,0.366347998,2.022700071,0.35548687,2.047935247
112,0.375908226,2.009018898,0.360123634,2.038139343
113,0.382026762,2.005124331,0.357032448,2.059668779
114,0.346462727,2.022019625,0.394126743,2.013510942
115,0.354110897,2.021378994,0.367851615,2.032930374
116,0.371319324,2.009449005,0.33075735,2.064647675
117,0.364818364,2.006207705,0.358578056,2.051265478
118,0.369407266,2.015387774,0.378670782,2.026238203
119,0.374378592,1.997246981,0.38021639,2.021963358
120,0.372848958,2.00448966,0.370942801,2.023082972
121,0.368642449,2.014676332,0.361669242,2.011402607
122,0.371701717,1.990384102,0.366306037,2.05185008
123,0.360611856,2.006661654,0.381761968,2.022889376
124,0.377820253,1.992268682,0.367851615,1.998404384
125,0.382791579,1.984712243,0.35548687,2.011729479
126,0.368260026,1.981052399,0.364760429,1.988446951
127,0.385468453,1.990087271,0.372488409,2.039548635
128,0.380114734,1.990396857,0.377125204,1.977519274
129,0.376673043,1.982468963,0.361669242,2.017544985
130,0.380114734,1.970474243,0.360123634,2.012721777
131,0.382791579,1.963581681,0.370942801,1.987375975
132,0.386998087,1.980677843,0.381761968,2.039887667
133,0.369407266,1.982114553,0.358578056,1.994387627
134,0.382409185,1.968809724,0.38021639,1.978354692
135,0.370172083,1.966127276,0.370942801,2.003314495
136,0.375908226,1.95661974,0.377125204,1.991153955
137,0.380114734,1.965852857,0.364760429,1.982396007
138,0.383938819,1.959701538,0.398763537,1.968939781
139,0.377055436,1.960431457,0.375579596,2.000399113
140,0.382026762,1.974229813,0.36321485,1.971719146
141,0.405736148,1.941723704,0.370942801,1.977259278
142,0.386998087,1.940816045,0.398763537,1.95698297
143,0.38508603,1.960295558,0.370942801,1.983612776
144,0.387380511,1.952460289,0.381761968,1.947219968
145,0.383938819,1.948300958,0.38021639,1.977872252
146,0.387762904,1.956261158,0.38021639,1.985584378
147,0.388145328,1.94174552,0.401854724,1.962705016
148,0.396175921,1.945659399,0.387944371,1.960841298
149,0.393116623,1.951492071,0.377125204,1.971183062
150,0.393499047,1.94100821,0.38021639,1.947990298
151,0.388527721,1.945738792,0.370942801,1.964844823
152,0.395411104,1.936137319,0.421947449,1.9459306
153,0.405736148,1.931331992,0.372488409,1.993671536
154,0.4003824,1.937538981,0.411128283,1.953571558
155,0.401147217,1.933589458,0.384853154,1.931955099
156,0.38508603,1.939211845,0.403400302,1.940585852
157,0.391586989,1.919454455,0.383307576,1.966182947
158,0.38508603,1.949791193,0.403400302,1.969030499
159,0.39273423,1.926060557,0.394126743,1.971525192
160,0.398470372,1.927453041,0.378670782,1.945087552
161,0.399617583,1.918398023,0.377125204,1.953302503
162,0.395411104,1.923346043,0.389489949,1.939553499
163,0.389292538,1.918882251,0.389489949,1.93487525
164,0.400764823,1.899042249,0.398763537,1.925522566
165,0.39273423,1.929025412,0.397217929,1.92952168
166,0.389674962,1.920265079,0.421947449,1.905810952
167,0.396175921,1.923214912,0.392581135,1.905021906
168,0.401147217,1.914756536,0.377125204,1.947998405
169,0.414531559,1.899963021,0.375579596,1.947688222
170,0.383938819,1.911081791,0.398763537,1.933422446
171,0.395793498,1.906537414,0.378670782,1.928895235
172,0.405736148,1.906251669,0.370942801,1.931901693
173,0.396175921,1.907714128,0.391035557,1.917274594
174,0.407265782,1.891852856,0.40494591,1.9292202
175,0.413001925,1.900637865,0.38021639,1.948628783
176,0.414913952,1.887275934,0.397217929,1.945456982
177,0.407265782,1.90284729,0.401854724,1.906790972
178,0.414913952,1.888748407,0.387944371,1.914906383
179,0.414149135,1.886600375,0.406491488,1.906234145
180,0.406883359,1.880050302,0.409582675,1.924720764
181,0.407648176,1.883699656,0.392581135,1.905387163
182,0.413766742,1.878929615,0.370942801,1.950056672
183,0.413766742,1.888972163,0.381761968,1.92492342
184,0.409942627,1.880470634,0.423493057,1.877558947
185,0.397705555,1.898655057,0.409582675,1.919950008
186,0.405736148,1.8958323,0.40494591,1.913221955
187,0.411089867,1.88609457,0.364760429,1.935378194
188,0.413766742,1.877908587,0.417310655,1.896249294
189,0.413384318,1.891720891,0.370942801,1.93170929
190,0.4003824,1.881773353,0.38021639,1.909742117
191,0.402676851,1.885324717,0.406491488,1.896054387
192,0.413384318,1.875402927,0.412673891,1.880317092
193,0.401912034,1.883129954,0.412673891,1.90084064
194,0.396558315,1.881893992,0.401854724,1.907746673
195,0.406500965,1.878786564,0.420401841,1.871297359
196,0.41797322,1.880561352,0.384853154,1.924723387
197,0.408412993,1.87465477,0.409582675,1.897179604
198,0.399235189,1.882853746,0.398763537,1.901016235
199,0.416061193,1.862733006,0.389489949,1.903405428
